Time,Tank1 Level,Tank2 Level
0.1,0,0
0.2,0,0
0.30000000000000004,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.7999999999999999,0,0
0.8999999999999999,0,0
0.9999999999999999,0,0
1.0999999999999999,0,0
1.2,0,0
1.3,0,0
1.4000000000000001,0,0
1.5000000000000002,0,0
1.6000000000000003,0,0
1.7000000000000004,0,0
1.8000000000000005,0,0
1.9000000000000006,0,0
2.0000000000000004,0,0
2.1000000000000005,0,0
2.2000000000000006,0,0
2.3000000000000007,0,0
2.400000000000001,0,0
2.500000000000001,0,0
2.600000000000001,0.1,0.1
2.700000000000001,0.2,0.2
2.800000000000001,0.30000000000000004,0.30000000000000004
2.9000000000000012,0.4,0.4
3.0000000000000013,0.5,0.5
3.1000000000000014,0.6,0.6
3.2000000000000015,0.7,0.7
3.3000000000000016,0.7999999999999999,0.7999999999999999
3.4000000000000017,0.8999999999999999,0.8999999999999999
3.5000000000000018,0.9999999999999999,0.9999999999999999
3.600000000000002,1.0999999999999999,1.0999999999999999
3.700000000000002,1.2,1.2
3.800000000000002,1.3,1.3
3.900000000000002,1.4000000000000001,1.4000000000000001
4.000000000000002,1.5000000000000002,1.5000000000000002
4.100000000000001,1.6000000000000003,1.6000000000000003
4.200000000000001,1.7000000000000004,1.7000000000000004
4.300000000000001,1.8000000000000005,1.8000000000000005
4.4,1.9000000000000006,1.9000000000000006
4.5,2.0000000000000004,2.0000000000000004
4.6,2.1000000000000005,2.1000000000000005
4.699999999999999,2.2000000000000006,2.2000000000000006
4.799999999999999,2.3000000000000007,2.3000000000000007
4.899999999999999,2.400000000000001,2.400000000000001
4.999999999999998,2.500000000000001,2.500000000000001
5.099999999999998,2.600000000000001,2.600000000000001
5.1999999999999975,2.700000000000001,2.700000000000001
5.299999999999997,2.800000000000001,2.800000000000001
5.399999999999997,2.9000000000000012,2.9000000000000012
5.4999999999999964,3.0000000000000013,3.0000000000000013
5.599999999999996,3.1000000000000014,3.1000000000000014
5.699999999999996,3.2000000000000015,3.2000000000000015
5.799999999999995,3.3000000000000016,3.3000000000000016
5.899999999999995,3.4000000000000017,3.4000000000000017
5.999999999999995,3.5000000000000018,3.5000000000000018
6.099999999999994,3.600000000000002,3.600000000000002
6.199999999999994,3.700000000000002,3.700000000000002
6.299999999999994,3.800000000000002,3.800000000000002
6.399999999999993,3.900000000000002,3.900000000000002
6.499999999999993,4.000000000000002,4.000000000000002
6.5999999999999925,4.100000000000001,4.100000000000001
6.699999999999992,4.200000000000001,4.200000000000001
6.799999999999992,4.300000000000001,4.300000000000001
6.8999999999999915,4.4,4.4
6.999999999999991,4.5,4.5
7.099999999999991,4.6,4.6
7.19999999999999,4.699999999999999,4.699999999999999
7.29999999999999,4.799999999999999,4.799999999999999
7.39999999999999,4.899999999999999,4.899999999999999
7.499999999999989,4.999999999999998,4.999999999999998
7.599999999999989,5.099999999999998,5.099999999999998
7.699999999999989,5.1999999999999975,5.1999999999999975
7.799999999999988,5.299999999999997,5.299999999999997
7.899999999999988,5.399999999999997,5.399999999999997
7.999999999999988,5.4999999999999964,5.4999999999999964
8.099999999999987,5.599999999999996,5.599999999999996
8.199999999999987,5.699999999999996,5.699999999999996
8.299999999999986,5.799999999999995,5.799999999999995
8.399999999999986,5.899999999999995,5.899999999999995
8.499999999999986,5.999999999999995,5.999999999999995
8.599999999999985,6.099999999999994,6.099999999999994
8.699999999999985,6.199999999999994,6.199999999999994
8.799999999999985,6.299999999999994,6.299999999999994
8.899999999999984,6.399999999999993,6.399999999999993
8.999999999999984,6.499999999999993,6.499999999999993
9.099999999999984,6.5999999999999925,6.5999999999999925
9.199999999999983,6.699999999999992,6.699999999999992
9.299999999999983,6.799999999999992,6.799999999999992
9.399999999999983,6.8999999999999915,6.8999999999999915
9.499999999999982,6.999999999999991,6.999999999999991
9.599999999999982,7.099999999999991,7.099999999999991
9.699999999999982,7.19999999999999,7.19999999999999
9.799999999999981,7.29999999999999,7.29999999999999
9.89999999999998,7.39999999999999,7.39999999999999
9.99999999999998,7.499999999999989,7.499999999999989
10.09999999999998,7.599999999999989,7.599999999999989
10.19999999999998,7.699999999999989,7.699999999999989
10.29999999999998,7.799999999999988,7.799999999999988
10.399999999999979,7.899999999999988,7.899999999999988
10.499999999999979,7.999999999999988,7.999999999999988
10.599999999999978,8.099999999999987,8.099999999999987
10.699999999999978,8.199999999999987,8.199999999999987
10.799999999999978,8.299999999999986,8.299999999999986
10.899999999999977,8.399999999999986,8.399999999999986
10.999999999999977,8.499999999999986,8.499999999999986
11.099999999999977,8.599999999999985,8.599999999999985
11.199999999999976,8.699999999999985,8.699999999999985
11.299999999999976,8.799999999999985,8.799999999999985
11.399999999999975,8.899999999999984,8.899999999999984
11.499999999999975,8.999999999999984,8.999999999999984
11.599999999999975,9.099999999999984,9.099999999999984
11.699999999999974,9.199999999999983,9.199999999999983
11.799999999999974,9.299999999999983,9.299999999999983
11.899999999999974,9.399999999999983,9.399999999999983
11.999999999999973,9.499999999999982,9.499999999999982
12.099999999999973,9.599999999999982,9.599999999999982
12.199999999999973,9.699999999999982,9.699999999999982
12.299999999999972,9.799999999999981,9.799999999999981
12.399999999999972,9.89999999999998,9.89999999999998
12.499999999999972,9.99999999999998,9.99999999999998
12.599999999999971,10.09999999999998,10.09999999999998
12.69999999999997,10.19999999999998,10.19999999999998
12.79999999999997,10.29999999999998,10.29999999999998
12.89999999999997,10.399999999999979,10.399999999999979
12.99999999999997,10.499999999999979,10.499999999999979
